query,query_clean,extracted_product_type,extracted_print_design,extracted_colors,extracted_sizes,extracted_dimensions,extracted_brands,extracted_device_models,extracted_materials,extracted_audience,extracted_power_source,extracted_categories,extracted_is_replica,n_attributes
детское платье праздничное на годик,детское платье праздничное на годик,['платье'],[],[],[],[],[],[],[],['kids'],[],['clothing'],[],3
шапочки весенняя на выписку для новорожденных,шапочки весенняя на выписку для новорожденных,[],[],[],[],[],[],[],[],['newborn'],[],['kids'],[],2
диван раскладной большой,диван раскладной большой,['диван'],[],[],[],[],[],[],[],[],[],['furniture'],[],2
стельки для кроссовок детские 24,стельки для кроссовок детские 24,['кроссовки'],[],[],[],[],[],[],[],['kids'],[],['furniture'],[],3
блок предметных тетрадей,блок предметных тетрадей,[],[],[],[],[],[],[],[],[],[],['stationery'],[],1
клей 152,клей 152,[],[],[],['152 см'],[],[],[],[],[],[],['stationery'],[],2
гейнер 30 г белка,гейнер 30 г белка,[],[],[],[],"[{'value': 30.0, 'unit': 'g', 'type': 'weight'}]",[],[],[],[],[],['supplements'],[],2
чепчик нарядный для новорожденного,чепчик нарядный для новорожденного,[],[],[],[],[],[],[],[],['newborn'],[],['kids'],[],2
держатель для бумажных полотенец бронза,держатель для бумажных полотенец бронза,[],[],[],[],[],[],[],[],[],[],['jewelry'],[],1
мангальная зона с печкой,мангальная зона с печкой,[],[],[],[],[],[],[],[],[],[],['construction'],[],1
бокалы 35 лет свадьбы,бокалы 35 лет свадьбы,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
рюкзак мужской с надписями,рюкзак мужской с надписями,['рюкзак'],[],[],[],[],[],[],[],['men'],[],['clothing'],[],3
джинсы женские зауженные с высокой посадкой серые,джинсы женские зауженные с высокой посадкой серые,['джинсы'],[],['серый'],[],[],[],[],[],['women'],[],"['clothing', 'food']",[],5
сушилка дегидратор для пастилы,сушилка дегидратор для пастилы,[],[],[],[],[],[],[],[],[],[],['pets'],[],1
монголка кепка,монголка кепка,[],[],[],[],[],[],[],[],[],[],['jewelry'],[],1
скамейка во двор,скамейка во двор,[],[],[],[],[],[],[],[],[],[],['home_decor'],[],1
электрическая машина для детей,электрическая машина для детей,[],[],[],[],[],[],[],[],['kids'],['electric'],['appliances'],[],3
вентиляционная решетка в дверь круглая,вентиляционная решетка в дверь круглая,['дверь'],[],[],[],[],[],[],[],[],[],['construction'],[],2
чехол на vivo y27s прозрачный,чехол на vivo y27s прозрачный,['чехол'],[],[],[],[],['vivo'],[],[],[],[],['electronics'],[],3
чайник для плиты газовой 1.5 л,чайник для плиты газовой 1.5 л,['чайник'],[],[],[],"[{'value': 1.5, 'unit': 'L', 'type': 'dimension'}]",[],[],[],[],['gas'],"['appliances', 'food']",[],5
брусок деревянный 40 60,брусок деревянный 40 60,[],[],[],['40'],[],[],[],['дерево'],[],[],['food'],[],3
сумка дорожная маленькая спортивный,сумка дорожная маленькая спортивный,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
спортивный костюм женский на высокий рост без начеса,спортивный костюм женский на высокий рост без начеса,['костюм'],[],[],[],[],[],[],[],['women'],[],"['clothing', 'food']",[],4
пуфик детский зверюшки,пуфик детский зверюшки,[],[],[],[],[],[],[],[],['kids'],[],['kids'],[],2
аккумуляторный триммер штиль,аккумуляторный триммер штиль,['триммер'],[],[],[],[],['штиль'],[],[],[],['battery'],['tools'],[],4
conte elegant колготки 30 ден,conte elegant колготки 30 ден,['носки'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
рассеиватели для встроенной вспышки,рассеиватели для встроенной вспышки,[],[],[],[],[],[],[],[],[],[],['appliances'],[],1
конверты в армию,конверты в армию,[],[],[],[],[],[],[],[],[],[],['stationery'],[],1
чехол на iphone 14 plus the north face,чехол на iphone 14 plus the north face,['чехол'],[],[],[],[],['iphone'],['14 plus'],[],[],[],['electronics'],[],4
плечики трансформеры взрослые,плечики трансформеры взрослые,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
кошелек с одним отделением на молнии,кошелек с одним отделением на молнии,[],[],[],[],[],[],[],[],[],[],['tools'],[],1
поднос пластиковый прямоугольный 40,поднос пластиковый прямоугольный 40,[],[],[],['40'],[],[],[],['пластик'],[],[],['kids'],[],3
халат для самбо,халат для самбо,['халат'],[],[],[],[],[],[],[],[],[],['clothing'],[],2
краска резиновая для наружных работ по бетону серая,краска резиновая для наружных работ по бетону серая,['краска'],[],[],[],[],[],[],[],[],[],['construction'],[],2
твердые файлы для документов,твердые файлы для документов,[],[],[],[],[],[],[],[],[],[],['stationery'],[],1
поилка для переноски,поилка для переноски,[],[],[],[],[],[],[],[],[],[],['clothing'],[],1
